name,price
BTC,"$58,183.09"
ETH,"$3,133.58"
USDT,$1.00
BNB,$532.33
SOL,$138.36
USDC,$1.00
XRP,$0.4622
TON,$7.30
DOGE,$0.1073
ADA,$0.4096
TRX,$0.14
AVAX,$25.59
SHIB,$0.00
DOT,$6.00
LINK,$12.65
BCH,$354.78
NEAR,$5.01
DAI,$1.00
LEO,$5.67
LTC,$68.92
MATIC,$0.50
UNI,$8.11
KAS,$0.17
PEPE,$0.00
ICP,$7.28
ETC,$21.35
XMR,$158.39
FET,$1.15
APT,$6.07
XLM,$0.09
STX,$1.69
RNDR,$6.16
HBAR,$0.07
ATOM,$6.03
CRO,$0.09
MNT,$0.70
FIL,$4.01
ARB,$0.70
OKB,$37.66
MKR,$2406.12
VET,$0.03
IMX,$1.26
FDUSD,$1.00
OP,$1.71
SUI,$0.74
INJ,$19.86
GRT,$0.18
TAO,$242.35
NOT,$0.02
WIF,$1.58
BONK,$0.00
LDO,$1.65
AR,$22.08
BGB,$1.03
AAVE,$96.58
THETA,$1.39
ONDO,$0.98
FLOKI,$0.00
FTM,$0.47
TIA,$6.40
RUNE,$3.59
JASMY,$0.02
BRETT,$0.11
ALGO,$0.14
PYTH,$0.29
JUP,$0.76
CORE,$1.09
EGLD,$35.35
SEI,$0.31
OM,$1.05
KCS,$9.09
QNT,$71.55
FLOW,$0.55
ENS,$26.01
FLR,$0.02
STRK,$0.56
AKT,$3.27
AXS,$5.36
EOS,$0.52
DYDX,$1.30
BTT,$0.00
BSV,$39.04
XTZ,$0.76
USDD,$1.00
BEAM,$0.01
GALA,$0.02
NEO,$9.93
SAND,$0.30
GNO,$264.64
ENA,$0.40
RON,$2.02
ORDI,$32.23
GT,$7.00
NEXO,$1.11
SAFE,$1.45
MOG,$0.00
MANA,$0.32
CFX,$0.14
XEC,$0.00
XAUt,$2412.91
